Age,Gender,Weight (kg),Height (m),Avg_BPM,Session_Duration (hours),Workout_Type,Workout_Frequency (days/week),Experience_Level,Calories_Burned
26,Male,77.7,1.62,126,1.16,Yoga,3,2,804
25,Female,41.2,1.62,144,1.49,Yoga,4,2,1073
29,Male,58.6,1.61,122,1.2,Yoga,3,2,805
51,Male,109.3,1.78,157,0.54,Strength,3,1,420
50,Male,69.6,1.96,139,0.97,Strength,3,1,667
40,Female,56.2,1.79,153,1.79,Yoga,5,3,1369
41,Male,71.7,1.96,168,0.51,Yoga,2,1,424
54,Male,86,1.93,163,1.74,Strength,5,3,1404
52,Female,79.4,1.59,163,1.39,Strength,3,2,1020
57,Female,78.4,1.62,149,1.01,Strength,4,2,677
39,Female,55.4,1.6,136,1.44,HIIT,3,2,979
44,Female,61.7,1.55,129,1.41,Strength,4,2,819
52,Male,85.5,1.82,154,1.78,Yoga,4,3,1357
18,Male,87.6,1.93,139,1.72,HIIT,4,3,1315
52,Male,82.4,1.72,137,1.01,Strength,4,2,685
54,Male,67,1.68,164,0.55,Yoga,3,1,446
31,Female,42.3,1.6,163,1.09,Cardio,3,2,888
20,Male,82.7,1.99,146,1.69,HIIT,5,3,1357
18,Male,92.4,1.74,168,1.41,Yoga,2,1,1303
22,Female,63.2,1.54,155,1.02,Cardio,4,2,790
43,Male,82.7,1.85,142,1.22,Yoga,4,2,858
31,Male,86.6,1.76,151,1.29,Strength,3,2,1071
56,Male,129.5,1.95,129,1,Strength,2,1,639
44,Male,98,1.83,130,1.28,Cardio,4,2,824
26,Male,86.2,1.68,157,1.97,Strength,5,3,1701
32,Male,78.6,1.62,125,1.28,Yoga,3,1,880
32,Female,59,1.66,160,0.51,Cardio,2,1,408
43,Female,57.3,1.79,166,1.98,Yoga,4,3,1479
59,Male,122.3,1.89,153,0.66,Yoga,3,1,500
30,Male,85.3,1.95,155,1.61,Yoga,5,3,1373
49,Female,45.2,1.74,156,1.24,Strength,3,2,870
56,Male,55.6,1.92,136,0.68,Strength,3,1,458
49,Male,82.8,1.95,159,1.91,Yoga,5,3,1503
21,Male,125.2,1.66,159,1.38,HIIT,3,2,1207
47,Female,58.5,1.79,131,1.42,Yoga,4,2,837
54,Male,86.1,1.95,140,1.17,Yoga,2,1,811
40,Female,63.5,1.61,159,1.31,Cardio,3,2,1041
56,Male,69.3,1.68,138,0.66,Yoga,2,1,451
32,Female,70.5,1.62,122,1.24,Strength,2,1,756
46,Female,60.1,1.65,137,1.69,Cardio,4,3,1042
53,Male,94.1,1.95,138,0.89,HIIT,3,1,608
30,Female,79.2,1.62,166,1.26,Cardio,4,2,1046
49,Male,115.3,1.91,125,1.38,HIIT,2,1,854
24,Female,62.9,1.79,135,1.42,Cardio,4,2,958
39,Male,62,1.64,127,0.97,Cardio,3,1,678
45,Male,88.5,1.78,167,1.53,HIIT,4,3,1265
19,Female,73.9,1.77,137,1.28,Strength,3,2,877
59,Male,50.3,1.95,167,1.07,Strength,3,1,885
23,Male,83.1,1.8,162,0.7,Strength,3,1,624
45,Female,65.1,1.78,158,1.46,Cardio,3,1,1038
45,Male,46.6,1.79,168,1.46,Yoga,3,2,1214
37,Male,103.5,1.89,168,0.54,Cardio,2,1,499
47,Female,61.9,1.54,131,1.95,Yoga,4,3,1150
28,Female,52,1.61,164,1.32,Yoga,3,2,1082
45,Male,113.4,1.71,129,0.83,Strength,2,1,530
42,Male,62.9,1.98,126,1.42,Yoga,4,2,886
56,Female,40.4,1.8,165,1.23,Cardio,4,2,913
50,Female,67.1,1.75,120,0.67,Cardio,3,1,362
18,Male,70,1.61,168,1.3,Strength,2,1,1201
44,Female,69.5,1.75,155,1.02,HIIT,3,1,711
30,Male,107.9,1.66,140,1.08,Cardio,3,2,832
58,Male,109,1.91,156,1.49,Yoga,3,2,1151
20,Male,101,1.91,143,1.36,Cardio,3,2,1070
56,Male,88.5,1.85,144,1.57,Cardio,4,3,1119
23,Male,80.9,1.8,126,1.55,Cardio,4,3,1074
25,Female,43.1,1.62,161,1.04,HIIT,4,2,837
44,Female,59.1,1.52,136,1.58,Yoga,5,3,967
26,Female,54,1.53,148,1.14,Strength,3,1,844
54,Female,72.3,1.78,149,1.27,Cardio,2,1,852
50,Male,51.1,1.98,126,0.92,Yoga,2,1,574
59,Male,89.4,1.72,152,1.08,Yoga,3,1,813
41,Male,51.5,1.8,126,1.09,Strength,4,2,680
32,Male,87.9,1.88,143,1.52,Cardio,5,3,1195
49,Female,42,1.52,130,1.1,HIIT,3,1,644
49,Male,79.2,1.72,128,1.46,Yoga,3,1,925
41,Male,64.8,1.71,131,1.2,Strength,3,2,778
58,Female,63,1.78,154,1.58,HIIT,4,3,1095
29,Female,56.2,1.77,123,0.68,Yoga,3,1,418
56,Female,52.9,1.64,155,1.1,Cardio,3,2,767
19,Female,49,1.69,147,1.05,Yoga,3,1,772
20,Male,128.2,1.84,132,0.83,HIIT,3,1,603
54,Male,83.6,1.86,142,1.54,HIIT,5,3,1082
34,Female,56.2,1.77,138,1.81,Cardio,5,3,1249
19,Male,87.8,1.78,161,1.28,Cardio,2,1,1133
19,Male,85.9,1.85,156,1.66,Strength,4,3,1424
45,Male,51.1,1.87,158,1.44,Cardio,4,2,1126
40,Female,57.4,1.71,143,1.87,Strength,5,3,1337
54,Male,114.9,1.92,135,1.2,HIIT,4,2,802
49,Female,62.1,1.66,152,1.37,HIIT,3,2,937
50,Male,57.1,1.91,131,1.09,Yoga,4,2,707
18,Male,68.1,1.8,153,1.1,Yoga,4,2,926
36,Male,69.2,1.65,126,1.23,Strength,3,1,852
19,Female,65.2,1.52,130,1.23,Cardio,3,1,800
43,Male,108.6,1.73,150,1.33,Cardio,2,1,988
49,Female,40,1.65,148,1.03,Yoga,3,2,686
23,Female,41.9,1.58,132,0.56,HIIT,3,1,370
49,Female,68.3,1.52,150,1.45,Strength,4,2,979
21,Male,88.4,1.6,121,1.71,HIIT,4,3,1138
28,Male,66,1.9,158,1.18,HIIT,3,1,1025
34,Male,71.9,1.64,134,1.26,Cardio,4,2,929
55,Male,75.6,1.71,130,1.03,Strength,4,2,663
41,Female,63.4,1.59,153,1.84,HIIT,5,3,1267
22,Female,71.6,1.77,158,1.49,Yoga,3,1,1177
51,Female,57.4,1.77,123,1.08,Yoga,4,2,598
23,Male,83.8,1.99,130,1.79,Cardio,4,3,1280
39,Female,55.9,1.71,148,1.95,Yoga,5,3,1443
28,Male,87,1.76,121,1.2,Yoga,3,2,799
33,Female,65.3,1.71,135,1.18,HIIT,4,2,796
50,Male,45.4,1.67,158,1.37,Yoga,4,2,1071
26,Male,87.1,1.87,132,1.71,Yoga,4,3,1241
23,Female,78.6,1.73,156,1.47,HIIT,4,2,1147
33,Female,78,1.71,136,1.08,Cardio,3,1,734
46,Female,58,1.53,140,1.83,Cardio,4,3,1153
20,Female,71.3,1.69,163,1.28,Strength,3,2,1043
37,Male,49.1,1.74,138,1.11,Yoga,3,2,842
53,Female,78.3,1.65,126,1.24,HIIT,3,1,703
36,Female,57.3,1.64,157,1.13,Strength,4,2,887
43,Female,48.4,1.61,127,1.28,Cardio,2,1,732
20,Male,76.4,1.62,132,1.35,Cardio,4,2,980
36,Male,110.2,1.77,156,1.19,HIIT,2,1,1021
37,Female,72.9,1.76,121,1.21,Strength,3,2,732
49,Male,82.1,1.86,160,1.87,Strength,4,3,1481
24,Female,58.9,1.76,130,0.63,HIIT,3,1,410
58,Male,82.2,1.87,143,1.57,HIIT,4,3,1111
50,Male,96.7,1.72,125,1.46,Strength,3,2,903
57,Male,81.4,1.86,145,1.8,Cardio,5,3,1292
56,Male,107.8,1.73,126,1.09,Yoga,3,2,680
35,Female,65.8,1.62,158,1,Cardio,4,2,790
57,Female,68.5,1.56,138,1.45,HIIT,4,2,900
18,Female,63.9,1.59,125,1.87,Strength,4,3,1169
28,Male,76.3,1.62,162,1.16,Strength,3,2,1034
45,Female,44.5,1.65,148,1.44,Yoga,3,1,959
42,Female,50.7,1.75,162,1.29,Strength,3,2,940
40,Female,55.1,1.61,158,1.55,Yoga,4,3,1224
48,Male,73.7,1.61,121,1.36,Cardio,4,2,815
47,Male,55.6,1.77,138,1.2,Cardio,4,2,820
59,Male,86.9,1.76,123,1.13,Strength,3,2,688
52,Female,60.3,1.68,125,1.6,Strength,4,3,900
24,Female,40.4,1.64,168,0.99,HIIT,2,1,832
33,Female,78.5,1.66,156,1.29,HIIT,4,2,1006
43,Male,102.6,1.72,147,0.82,Strength,2,1,597
19,Male,110.8,1.91,149,1.31,Strength,2,1,1074
18,Female,60.9,1.79,126,1.11,Cardio,2,1,699
29,Male,55.7,1.61,128,1.41,Strength,3,1,993
22,Male,110.5,1.92,144,1.16,HIIT,3,2,919
54,Male,55.2,1.71,152,0.77,Cardio,2,1,579
49,Male,46.5,1.72,120,1.4,Yoga,4,2,832
26,Female,70.9,1.66,125,0.81,HIIT,3,1,506
58,Male,74.6,1.75,137,1.09,HIIT,2,1,739
52,Male,45.1,1.72,129,0.93,Cardio,2,1,594
36,Male,99.9,1.99,147,1.33,Yoga,3,1,1075
33,Male,117,1.61,130,1.04,HIIT,3,2,744
20,Female,75.9,1.73,152,1.39,Strength,4,2,1056
37,Female,71.2,1.64,120,1.11,HIIT,3,2,666
41,Male,78.8,1.72,132,1.01,Cardio,4,2,660
50,Male,50.6,1.69,156,1.31,Cardio,2,1,1012
41,Male,82.5,1.79,139,1.69,Cardio,4,3,1163
28,Male,108.5,1.79,120,1.33,HIIT,4,2,878
25,Male,49.9,1.98,122,1.15,Yoga,3,2,772
53,Male,125.1,1.91,137,0.52,Strength,2,1,353
55,Female,79.7,1.66,160,1.06,Cardio,2,1,763
57,Male,126.8,1.63,133,0.96,Yoga,2,1,632
37,Female,54.6,1.57,150,1.31,Strength,3,1,982
52,Female,47.8,1.54,146,1.34,Cardio,3,2,880
42,Male,97.9,1.91,136,1.01,Strength,3,2,680
52,Female,63.1,1.54,165,1.36,Strength,3,2,1010
42,Female,72.4,1.69,148,1.07,Yoga,3,2,713
46,Female,58.9,1.7,155,1.52,Strength,4,3,1060
35,Female,50.4,1.6,156,1.03,Cardio,4,2,803
35,Female,64.2,1.59,145,1.63,Yoga,5,3,1182
19,Female,58.8,1.77,136,1.4,HIIT,2,1,952
52,Male,105.2,1.62,141,1.36,HIIT,3,1,949
33,Female,45.9,1.5,144,0.92,Yoga,3,1,662
58,Female,65.2,1.63,121,1.12,HIIT,3,2,610
53,Female,56.3,1.79,141,1.52,Strength,5,3,964
50,Male,90,1.7,124,0.81,Cardio,2,1,497
21,Female,60,1.7,123,1.97,Strength,5,3,1212
50,Male,51.5,1.71,155,1.48,Yoga,2,1,1136
31,Female,63.1,1.64,125,1.54,Cardio,4,3,962
38,Male,91.5,1.77,140,0.8,Yoga,2,1,616
37,Male,48.7,1.67,132,1.39,Yoga,2,1,1009
25,Female,57.8,1.56,156,1.35,Yoga,3,2,1053
24,Female,42,1.75,144,0.83,Strength,3,1,598
20,Male,128.4,1.92,145,0.63,Cardio,2,1,502
34,Female,74.2,1.57,158,1.47,Cardio,3,1,1161
50,Male,89.6,1.68,139,1.79,Cardio,5,3,1232
29,Male,125.9,2,152,1.36,Strength,4,2,1137
39,Male,105.5,1.99,133,0.81,HIIT,2,1,593
39,Male,93.4,1.7,155,1.1,Strength,4,2,938
47,Male,82.1,1.84,136,1.37,Strength,4,2,922
55,Female,42.9,1.69,140,0.9,Yoga,2,1,567
55,Male,128.4,1.68,165,1.13,Cardio,4,2,923
25,Male,112.4,1.96,135,1.42,Cardio,2,1,1054
44,Female,77.7,1.79,165,1.41,HIIT,3,1,1047
44,Male,89.3,1.99,135,1.4,HIIT,4,2,936
51,Female,70.3,1.55,139,1.4,Yoga,3,1,876
38,Female,59.1,1.72,148,1.07,Cardio,3,2,792
47,Female,49.9,1.69,147,1.48,HIIT,3,2,979
50,Male,101.7,1.67,127,0.53,HIIT,2,1,333
45,Male,93,1.91,143,1.03,Cardio,3,2,729
50,Male,87.4,1.6,122,0.77,Strength,2,1,465
22,Female,55.1,1.61,144,1.62,HIIT,4,3,1166
36,Male,123.7,1.69,138,1.3,Cardio,4,2,987
21,Female,61.3,1.57,152,1.94,HIIT,4,3,1474
52,Male,72.3,1.94,121,1.46,Yoga,3,2,874
34,Female,69.2,1.53,134,1.36,HIIT,2,1,911
45,Male,81.4,1.61,141,1.14,Cardio,4,2,796
47,Male,84.8,1.86,129,1.85,HIIT,5,3,1181
46,Male,55.1,1.72,137,1.43,Yoga,3,2,970
23,Female,59,1.78,141,1.67,Yoga,5,3,1177
52,Female,64.9,1.51,165,1.83,HIIT,4,3,1359
58,Male,109.7,1.75,168,1.01,HIIT,2,1,840
54,Male,78.4,1.9,146,0.81,Yoga,2,1,585
41,Female,76.7,1.79,132,1.4,Yoga,4,2,832
46,Female,63.1,1.61,152,1,Strength,4,2,684
48,Female,62.9,1.58,124,1.98,Strength,4,3,1105
52,Male,85.6,1.74,145,1.84,Yoga,4,3,1321
50,Female,66.3,1.57,132,1.25,HIIT,2,1,742
38,Male,61.3,1.97,146,1.37,Cardio,3,1,1100
49,Female,44.1,1.65,133,1.16,HIIT,4,2,694
40,Male,63.8,1.62,143,1.3,HIIT,2,1,1022
50,Female,55.4,1.55,122,1.85,Strength,4,3,1016
20,Female,74.7,1.58,166,1.04,Strength,3,2,863
35,Female,78,1.67,168,1.13,Strength,4,2,949
42,Female,57.5,1.67,149,1.14,Yoga,2,1,764
59,Female,60.7,1.73,154,1.03,Yoga,3,2,714
48,Male,69,1.74,167,1.48,HIIT,3,2,1223
20,Female,75.8,1.78,133,1.42,HIIT,4,2,944
57,Female,75.7,1.63,131,0.69,Cardio,3,1,407
41,Female,71.2,1.64,147,1.42,HIIT,3,2,939
49,Male,85,1.68,163,1.82,HIIT,4,3,1468
39,Female,63.6,1.56,148,1.22,Strength,2,1,903
40,Male,73.2,1.94,162,0.81,Strength,2,1,722
19,Female,48.3,1.52,136,0.96,Strength,2,1,653
44,Female,42.8,1.78,159,1.49,Strength,3,2,1066
59,Male,88.1,1.76,168,1.35,Strength,3,2,1123
19,Female,72.4,1.75,140,1.2,Cardio,4,2,840
43,Male,73.2,1.88,142,1.17,Cardio,3,1,822
34,Male,110.5,1.86,139,1.42,Cardio,2,1,1086
57,Female,46.1,1.76,130,1.44,Strength,3,2,842
50,Male,90.8,1.71,153,1.07,Yoga,4,2,810
26,Female,59.3,1.51,129,1.7,Strength,5,3,1096
56,Female,45.1,1.73,129,0.83,Strength,3,1,482
46,Male,45,1.77,162,1.48,Cardio,3,2,1187
59,Male,89.4,1.62,125,1.43,Strength,3,2,885
43,Male,127.7,1.69,155,1.14,Cardio,3,2,875
52,Male,70.9,1.72,143,1.31,Strength,3,2,927
42,Female,49.2,1.5,131,1.15,HIIT,3,2,678
41,Female,62.3,1.79,162,1.99,Yoga,5,3,1451
30,Male,64.1,1.87,142,0.64,Yoga,2,1,500
24,Female,69.7,1.75,146,1.41,Cardio,3,1,1029
53,Female,56.9,1.59,164,1.49,HIIT,3,2,1100
37,Female,53,1.71,156,1.13,Yoga,4,2,881
18,Female,72.7,1.55,125,0.84,Cardio,3,1,525
25,Male,76.5,1.96,120,0.67,Strength,3,1,442
33,Male,113.6,1.99,125,1.38,Strength,2,1,949
31,Female,62.5,1.62,169,1.56,HIIT,4,3,1318
29,Male,95.2,1.86,141,0.64,Yoga,2,1,496
40,Male,51.7,1.82,160,0.9,Strength,3,1,792
32,Male,105.3,1.67,143,0.57,Cardio,3,1,448
45,Female,71.2,1.68,144,1.37,Strength,3,1,888
51,Female,78.1,1.51,134,0.92,Strength,3,1,555
19,Female,50.6,1.68,145,1.21,Yoga,3,2,877
49,Male,70.2,1.89,127,0.7,Yoga,3,1,440
40,Female,62.6,1.53,143,1.93,Cardio,5,3,1380
39,Female,60.6,1.65,167,0.92,HIIT,3,1,768
42,Male,76.4,1.97,157,1.14,HIIT,3,2,886
39,Female,63.3,1.71,125,1.88,Strength,4,3,1175
39,Female,68.6,1.64,154,1.33,Cardio,3,2,1024
59,Male,123.3,1.88,161,1.3,HIIT,4,2,1036
23,Male,107,1.94,120,1.35,HIIT,2,1,891
32,Male,68.3,1.92,165,1.42,Strength,2,1,1289
54,Female,47.8,1.6,155,1.19,Cardio,4,2,830
50,Female,58.4,1.79,131,1.6,HIIT,4,3,943
25,Female,74.3,1.71,157,1.43,Yoga,3,2,1123
22,Male,106.8,1.82,130,1,Yoga,4,2,715
56,Male,125.5,1.8,131,1.26,Strength,4,2,817
21,Female,55.2,1.55,161,1.37,Strength,4,2,1103
23,Female,71.4,1.72,169,1.25,Strength,2,1,1056
49,Male,77.7,1.61,158,1.03,Strength,3,2,806
47,Male,88.4,1.6,126,1.86,HIIT,5,3,1160
52,Male,104.8,1.99,130,0.93,Cardio,2,1,598
57,Male,82.2,1.69,155,1.15,Strength,4,2,882
33,Female,68.2,1.75,150,0.85,Strength,2,1,638
30,Male,91.4,1.99,152,1.37,HIIT,3,2,1145
59,Female,42.1,1.65,132,1.22,Strength,2,1,725
47,Female,68.7,1.76,137,1.37,Strength,3,2,845
36,Female,47.2,1.74,160,1.5,Cardio,4,2,1200
34,Male,92,1.76,143,0.73,Yoga,3,1,574
36,Male,56.2,1.95,128,1.09,Strength,4,2,767
45,Male,58.4,1.72,150,1.31,HIIT,4,2,973
43,Male,82.9,1.95,160,1.9,Cardio,5,3,1505
54,Female,66.9,1.74,129,1.24,HIIT,2,1,720
43,Male,66.3,1.85,121,1.18,Cardio,2,1,707
40,Male,93.6,1.93,157,1.38,Cardio,3,1,1192
26,Female,64.1,1.5,134,1.93,Strength,5,3,1293
29,Male,86.7,1.62,122,1.52,Strength,4,3,1020
18,Female,62,1.59,162,1.23,Strength,4,2,996
18,Female,58.1,1.61,150,1.9,Yoga,4,3,1425
51,Female,64.9,1.6,125,1.49,Yoga,4,2,838
49,Female,69.3,1.62,122,1.14,HIIT,4,2,626
42,Female,42.7,1.74,130,1.04,Strength,3,1,608
57,Female,51.4,1.63,134,1.2,Yoga,4,2,724
18,Female,67.4,1.6,164,0.6,Strength,3,1,492
33,Female,55.6,1.61,147,1.77,Yoga,4,3,1301
56,Male,125.3,1.86,129,1,Yoga,3,2,639
22,Male,102.1,1.85,157,1.48,Cardio,4,2,1278
39,Male,61.9,1.77,166,1.32,Strength,3,1,1205
46,Male,108.8,1.64,169,1.4,Strength,3,1,1171
20,Female,51.1,1.58,169,0.5,Yoga,2,1,422
29,Male,81.7,1.99,126,1.45,Strength,2,1,1005
43,Female,42.7,1.66,134,0.73,Yoga,2,1,440
33,Male,81.8,1.99,137,1.59,Strength,4,3,1198
54,Male,54.6,1.76,137,1.28,Cardio,4,2,868
39,Male,107.7,1.88,160,0.72,Strength,2,1,634
46,Female,56.9,1.6,143,0.88,Cardio,3,1,566
31,Male,78.8,1.71,121,1.49,HIIT,4,2,992
45,Female,48.2,1.64,159,1.25,Strength,4,2,894
22,Female,50.7,1.59,139,1.27,Strength,3,2,883
47,Male,86.6,1.99,153,1.98,Strength,4,3,1500
22,Male,96.3,1.63,162,1.35,Cardio,4,2,1203
29,Male,80.8,1.98,145,1.65,Strength,5,3,1316
33,Female,58,1.53,126,1.84,Strength,5,3,1159
43,Male,95.9,1.85,157,1.28,Yoga,2,1,995
43,Female,61.5,1.58,149,1.86,HIIT,5,3,1247
38,Female,40.6,1.79,161,0.62,Cardio,2,1,499
56,Male,82.5,1.87,124,1.51,Yoga,5,3,927
53,Male,105.1,1.84,130,0.69,Cardio,3,1,444
50,Female,58.1,1.58,120,1.93,Yoga,5,3,1042
47,Female,61,1.76,153,1.54,HIIT,5,3,1060
54,Female,64.5,1.53,120,1.74,Yoga,4,3,940
40,Male,58.2,1.98,138,1.43,Cardio,3,2,1085
27,Female,69.5,1.76,121,0.94,Strength,3,1,569
22,Male,62.2,1.84,140,0.51,Strength,3,1,393
53,Female,68,1.7,139,1.06,HIIT,4,2,663
51,Female,56.3,1.5,142,1.43,Cardio,3,1,914
48,Male,94.5,1.7,140,1.01,Cardio,3,2,700
27,Female,58,1.79,143,1.39,Cardio,2,1,994
36,Male,84,1.94,123,1.8,HIIT,5,3,1218
49,Male,61,1.87,131,1.14,Strength,4,2,739
18,Female,64.8,1.53,141,1.98,Yoga,5,3,1396
22,Male,45.7,1.77,139,1.04,HIIT,3,1,795
21,Male,80.9,1.9,137,1.8,Yoga,4,3,1356
33,Female,64.1,1.63,120,1.58,Strength,5,3,948
41,Male,67,1.77,149,1.22,HIIT,3,2,900
33,Male,106.5,1.6,152,1.4,Strength,4,2,1170
19,Male,95.1,1.85,143,1.21,Yoga,4,2,952
45,Female,65.5,1.57,133,0.66,Cardio,2,1,395
49,Male,105.7,1.64,155,1.2,Cardio,3,2,921
44,Female,48,1.76,124,0.88,Yoga,2,1,491
37,Female,69.5,1.5,130,0.69,Cardio,2,1,448
41,Male,66.1,1.69,143,0.77,Yoga,2,1,545
29,Male,68,1.7,150,0.76,HIIT,2,1,627
52,Male,50.3,1.78,132,0.85,HIIT,2,1,555
50,Female,69.3,1.68,135,1.2,HIIT,2,1,729
50,Male,86.7,1.63,143,1.7,Cardio,4,3,1203
54,Male,125.9,1.94,132,1.35,Strength,3,2,882
29,Male,88.1,1.93,143,1.88,Cardio,5,3,1479
20,Male,124.3,1.82,145,1.25,Cardio,3,2,997
18,Male,62,1.85,121,0.88,Strength,3,1,586
50,Female,69.7,1.72,135,1.24,Strength,4,2,753
57,Female,60.9,1.52,157,1.31,Strength,3,2,926
27,Male,76.5,1.97,165,1.13,Strength,2,1,1025
46,Male,94.7,1.82,120,1.47,Cardio,3,2,873
